"Encounter.mediaAsset0","Encounter.day","Encounter.month","Encounter.year","Encounter.locationID","Encounter.verbatimLocality","Encounter.sightingID","Encounter.alternateID","Encounter.genus","Encounter.specificEpithet","Encounter.project0.researchProjectName","Encounter.submitterID"
"BR_BR2_06_11_2024_001_ind.jpg","06","11","2024","Brequigny","BR_BR2","BR_BR2_06112024","BR2_06112024_001","Salamandra","salamandra","Salamandres BZH","YourLoginARW"
"BR_BR2_06_11_2024_002_ind.jpg","06","11","2024","Brequigny","BR_BR2","BR_BR2_06112024","BR2_06112024_002","Salamandra","salamandra","Salamandres BZH","YourLoginARW"
"BR_BR2_06_11_2024_003_ind.jpg","06","11","2024","Brequigny","BR_BR2","BR_BR2_06112024","BR2_06112024_003","Salamandra","salamandra","Salamandres BZH","YourLoginARW"
